[2026-08-05T15:46:36.172Z] GET http://localhost:5174/atlas/kai-neutral.png → 200 (22ms, 73277B)
[2026-08-05T15:46:36.172Z] GET http://localhost:5174/atlas/takumi-neutral.png → 200 (22ms, 74971B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/ground-valley-dark.png → 200 (7ms, 118811B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/fire-1.png → 200 (7ms, 21380B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/fire-2.png → 200 (7ms, 26250B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/fire-3.png → 200 (7ms, 28307B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/ice-1.png → 200 (7ms, 22308B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/ice-2.png → 200 (8ms, 27081B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/ice-3.png → 200 (8ms, 29175B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/lightning-1.png → 200 (8ms, 23282B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/lightning-2.png → 200 (8ms, 28333B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/lightning-3.png → 200 (8ms, 30608B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/wind-1.png → 200 (8ms, 22257B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/wind-2.png → 200 (8ms, 27263B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/circles/128/wind-3.png → 200 (8ms, 29378B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/tower-fire.png → 200 (8ms, 47796B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/tower-ice.png → 200 (8ms, 66458B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/tower-lightning.png → 200 (8ms, 48454B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/tower-wind.png → 200 (9ms, 59186B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/enemy-shade.png → 200 (9ms, 71740B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/enemy-armored.png → 200 (9ms, 89442B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/enemy-scout.png → 200 (9ms, 90259B)
[2026-08-05T15:46:36.187Z] GET http://localhost:5174/assets/art/enemy-boss.png → 200 (9ms, 105386B)
[2026-08-05T15:47:24.537Z] GET http://localhost:5174/atlas/hikari-profile.png → 200 (1ms, 75327B)
[2026-08-05T15:48:45.645Z] GET http://localhost:5174/src/ui/screens/Battle.tsx?t=1785944925634 → 200 (28ms, 49173B)
[2026-08-05T15:48:45.693Z] GET http://localhost:5174/atlas/hikari-neutral.png → 200 (1ms, ?B)
[2026-08-05T15:48:45.693Z] GET http://localhost:5174/atlas/aoi-neutral.png → 200 (1ms, ?B)
[2026-08-05T15:48:45.693Z] GET http://localhost:5174/atlas/kai-neutral.png → 200 (2ms, ?B)
[2026-08-05T15:48:45.693Z] GET http://localhost:5174/atlas/takumi-neutral.png → 200 (2ms, ?B)
[2026-08-05T15:49:06.516Z] GET http://localhost:5174/src/index.css?t=1785944946515 → 200 (11ms, 14206B)
[2026-08-05T15:49:23.207Z] GET http://localhost:5174/src/index.css?t=1785944963206 → 200 (12ms, 14681B)
[2026-08-05T15:51:20.790Z] GET http://localhost:5174/ → 200 (3ms, 603B)
[2026-08-05T15:51:20.798Z] GET http://localhost:5174/@vite/client → 200 (4ms, ?B)
[2026-08-05T15:51:20.798Z] GET http://localhost:5174/src/main.tsx?t=1785944963206 → 200 (1ms, 2353B)
[2026-08-05T15:51:20.799Z] GET http://localhost:5174/@react-refresh → 200 (4ms, ?B)
[2026-08-05T15:51:20.799Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=09d1437f → 200 (?ms, -310B)
[2026-08-05T15:51:20.799Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=09d1437f → 200 (?ms, -306B)
[2026-08-05T15:51:20.799Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=09d1437f → 200 (1ms, -313B)
[2026-08-05T15:51:20.801Z] GET http://localhost:5174/src/ui/App.tsx?t=1785944925634 → 200 (2ms, 16485B)
[2026-08-05T15:51:20.801Z] GET http://localhost:5174/src/index.css?t=1785944963206 → 200 (6ms, ?B)
[2026-08-05T15:51:20.801Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-3U7W557A.js?v=09d1437f → 200 (?ms, -310B)
[2026-08-05T15:51:20.801Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-37GHHMFT.js?v=09d1437f → 200 (1ms, -310B)
[2026-08-05T15:51:20.802Z] GET http://localhost:5174/node_modules/.pnpm/vite@6.4.3/node_modules/vite/dist/client/env.mjs → 200 (5ms, ?B)
